رقم,الاسم بالعربي,الاسم بالإنجليزي,الفئة,الأولوية,المالك المؤسسي,المستخدمون الرئيسيون,الجداول في قاعدة البيانات,المشاكل التي يحلها,الفائدة المؤسسية,الوظائف الأساسية (تفصيل كامل),الأدوار المشاركة,التكاملات مع مديولات أخرى,حالات الحواف Edge Cases,التقارير المتاحة,KPIs المستهدفة,تأثير على القرارات,نقطة البداية في دائرة الإقفال,المراحل الوسطى في دائرة الإقفال,نقطة الإغلاق النهائية,التبعيات (يعتمد على),المديولات التي تعتمد عليه,ملاحظات
1,المستخدمون والصلاحيات,Users & Permissions,شغال,أساس النظام,الأدمن + الموارد البشرية,كل موظف في الشركة,users | permissions | user_permission_overrides | notifications | user_activity_log,فوضى الوصول للأنظمة | تسريب معلومات غير مصرحة | عدم تتبع تعديلات | بطء إضافة/تعطيل موظف,كل موظف يشوف ما يخصه فقط | محاسبة عبر audit log | سرعة إدارة الموظفين | مبدأ Least Privilege | امتثال أمني قانوني,تسجيل دخول ببريد وكلمة سر | Self-signup مع شاشة انتظار قبول | استعادة كلمة سر بإيميل | إعادة تعيين إجبارية أول دخول | استثناءات فردية على الصلاحيات | Soft delete بدل الحذف | Session expiry مع تحذير 5 دقائق | تجديد جلسة تلقائي | PWA مع Service Worker | Push notifications | Kill-switch SW,admin | company_manager | department_manager | branch_manager | deputy_manager | employee | maintenance_officer | operations_manager | quality_manager | hr_manager | payroll_officer | finance_manager | gl_accountant | ap_officer | ar_officer,كل مديول عبر RLS | الإشعارات | user_activity_log | Heartbeat online presence,موظف محذوف بجلسة قديمة → boot logout | محاولات دخول متكررة | انقطاع Supabase → fallback | تغيير موبايل بدون logout | فرع محذوف والموظف مربوط,قائمة المستخدمين مع أدوارهم | سجل نشاط لكل موظف | سجل محاولات دخول | تقرير الصلاحيات الفعلية | إحصائيات دخول شهرية,عدد المستخدمين النشطين | محاولات دخول فاشلة | عدد الاستثناءات الفردية | زمن إضافة موظف جديد,أساس كل موديول تاني | يحدد من يعتمد ماذا في كل مكان,طلب انضمام موظف جديد أو إنشاء من الأدمن,مراجعة الطلب والوثائق | القبول والتفعيل | إنشاء حساب auth + public | تعيين دور | إرسال إيميل ترحيب | كلمة سر مؤقتة | تغيير إجباري | استخدام يومي | ترقية دور | استثناءات صلاحيات | نقل بين فروع | تعليق مؤقت للتحقيق,إنهاء الخدمة (استقالة/فصل) | استرجاع العهد | تسليم المهام | إعادة توجيه الإيميل | تسوية الرواتب | مقابلة خروج | is_active=false | الجلسات تُغلق | الملف في الأرشيف القانوني 7+ سنوات,لا شيء (هو الأساس),كل المديولات بلا استثناء,يستخدم Supabase Auth + RLS | 18 دور مدعوم
2,الفروع والأقسام,Branches & Departments,شغال,أساسي,الإدارة العليا + مدير العمليات,الكل يرى الإدارة تعدل,branches | departments | branch_assets | users.branch_id | users.department_id,ضياع البيانات بين فروع | صعوبة مقارنة أداء | تكرار البيانات (كل فرع Excel) | تسرب معلومات بين فروع | بطء افتتاح فرع جديد,كل موظف مرتبط بفرع/قسم | كل حركة مالية/تشغيلية تُنسب لفرع | مقارنة أداء بمقاييس موحدة | توسع مؤسسي منظم | تحديد مراكز التكلفة والربح | تقارير على مستوى الفرع والشركة,إضافة/تعديل فرع بشاشة كاملة | تعطيل بدل حذف | ربط الموظفين والمعدات والحسابات | RLS تقيّد رؤية المدير بفرعه | خريطة تفاعلية GPS | ساعات عمل لكل يوم | تراخيص بلدية وصحة,admin | company_manager | branch_manager | deputy_manager | operations_manager,كل جدول له branch_id | الرواتب مركز تكلفة | الصيانة والجودة | المخزون منفصل | الطلبات محسوبة | مراكز التكلفة المحاسبية,نقل موظف بين فروع | إغلاق مؤقت للتجديد | دمج فرعين | فرع بأكثر من رقم بلدي | المكتب الإداري (ليس مطعم),مقارنة أداء الفروع | الأكثر ربحية/الأقل | خريطة حرارية بالمبيعات | تقرير التوسع السنوي | ملف الفرع PDF,عدد الفروع النشطة | عدد الموظفين لكل فرع | الإيرادات بالفرع | التكاليف | هامش الربح | متوسط قيمة الطلب,قرارات التوسع | تسعير حسب المنطقة | توزيع الميزانية | تقييم مدير الفرع | عمولات المبيعات,دراسة جدوى الفرع وقرار الافتتاح,تحضير قانوني (سجل ترخيص شهادة صحية) | إنشاء تقني في النظام | تعيين مدير ونائب | توظيف الفريق | إضافة المعدات | إعداد قوالب الورديات | إعداد المنيو | ربط الحسابات البنكية | افتتاح رسمي | تشغيل مستمر | مقارنات دورية | تعديلات على العمليات | ترقيات,قرار إغلاق (خسائر/نهاية عقد/توسع لموقع أفضل) | جرد نهائي شامل | نقل الموظفين | نقل المخزون | بيع الأصول | إقفال الحسابات | إلغاء التراخيص | is_active=false | السجلات تبقى للتقارير 7+ سنوات,المستخدمون والصلاحيات,كل مديول تقريبًا (الحسابات HR التشغيل الصيانة الجودة الطلبات المخزون),فروع متعددة الأنواع (مطعم كافيه مطبخ مركزي مستودع مكتب إداري)
3,الاجتماعات,Meetings,شغال,عالي,كل قسم + منظم اجتماع مخصص,كل الموظفين,meetings | meeting_attendees | meeting_templates | meeting_requests | action_items | decisions,اجتماعات بدون توثيق | مخرجات ضائعة | وقت مهدور بلا نتائج | عدم متابعة التنفيذ | تكرار نفس النقاشات | عدم وضوح الحضور,محضر رسمي لكل اجتماع | كل مخرج بمسؤول وموعد | لا اجتماع بدون أجندة أو نتيجة | مراجعة مخرجات السابق قبل الجديد | أرشيف بحث نصي | ثقافة اجتماعات احترافية | مرجعية للنزاعات,جدولة اجتماع | قوالب جاهزة | دعوة حضور بإشعار وإيميل | RSVP (قبول/رفض/ربما) | محضر بحفظ تلقائي | مرفقات (PDF صور عروض) | تسجيل صوتي/فيديو | توليد مخرجات وقرارات مباشرة | 4 حالات (مجدول جاري منعقد ألغي) | تذكيرات 24 ساعة وساعة و15 دقيقة,منظم الاجتماع | الرئيس الفعلي | سكرتير المحضر | الحضور | المدعوون,مخرجات الاجتماعات تخرج | قرارات تخرج | مهام قد تُنشأ | الإشعارات تذكّر | التواصل الداخلي chat لكل اجتماع,اجتماع عن بُعد (Zoom/Meet) | اجتماع طارئ فوري | تأجيل مع الاحتفاظ بالأجندة | مع أطراف خارجية | متكرر recurring | تغيير الرئيس/السكرتير | انقطاع الإنترنت (حفظ محلي) | استراحة (pause/resume),اجتماعات شهرية بالنوع والقسم | نسبة الحضور | نسبة تنفيذ المخرجات | متوسط مدة الاجتماع | المؤجلة والملغاة | زمن التنفيذ الوسيط,عدد الاجتماعات شهريًا | نسبة تنفيذ المخرجات | متوسط المدة | معدل الحضور | زمن التنفيذ,كل قرار مؤسسي كبير يمر باجتماع موثق | مرجعية القرار وسببه | تتبع من دعم ومن اعترض,الحاجة للاجتماع (دوري أو مخصص),طلب اجتماع مع أجندة وحضور | دعوة وإخطار | RSVP | تذكيرات 24س وساعة و15د | الانعقاد وفتح المحضر | توثيق النقاش نقطة نقطة | مرفقات فورية | تسجيل صوتي (بموافقة) | توليد المخرجات والقرارات | توزيع المحضر | متابعة تنفيذ المخرجات,تنفيذ كل المخرجات والقرارات | حالة الاجتماع = مؤرشف | يبقى للأبد قابل للبحث | مرجعية للنزاعات المستقبلية,المستخدمون | الفروع | الأقسام,المهام | القرارات | الإشعارات | التقارير,أنواع (تنفيذي تشغيلي مالي فني تسويقي طارئ فرع جمعية عامة 1:1 توظيف تدريب)
4,مخرجات الاجتماعات,Action Items,شغال,عالي,المخرج مربوط بالاجتماع الأم,كل الموظفين يرون مخرجاتهم,action_items,ضياع مخرجات الاجتماعات | عدم وضوح من ينفذ ماذا | عدم متابعة الإنجاز | تكرار نفس النقاشات لأن المخرج السابق لم ينفذ,كل ما يُقال في اجتماع ويحتاج تنفيذ له مسؤول ومسار متابعة | الموظف يعرف ما المطلوب منه | الاجتماع القادم يبدأ بمراجعة السابق,توليد مخرج من داخل اجتماع | إسناد لموظف بموعد وأولوية | إعادة إسناد | تعديل الموعد | تعليقات ومرفقات | إغلاق مع دليل | تصعيد للمسند لو تأخر | 5 حالات (مفتوح قيد تنفيذ مكتمل ملغى متأخر),المسند | المسؤول | الرئيس أو المدير للمراقبة,الإشعارات | الاجتماعات (رابط للاجتماع الأم) | الملف الشخصي | المهام (قد يتحول لمهمة أكبر),المسؤول في إجازة → نائب | الاجتماع أُلغي (المخرجات تبقى) | مخرج معتمد على آخر | مخرج طويل الأمد يقسم لأصغر,لوحة مخرجاتي لكل موظف | مخرجات القسم | تقرير المتأخرات | نسبة الإنجاز الشهرية,عدد المخرجات مفتوحة/مكتملة/متأخرة | نسبة التنفيذ في الموعد | زمن التنفيذ الوسيط | الموظفون الأكثر تنفيذًا,تقييم أداء الموظف بنسبة تنفيذ المخرجات | كشف القسم البطيء في التنفيذ,توليد المخرج داخل اجتماع بإسناد لمسؤول,الإسناد الرسمي وإخطار المستلم | استلام وتفاوض | التنفيذ وتحديث التقدم | إضافة تعليقات وأدلة | تذكيرات 3 أيام قبل ويوم قبل | تصعيد عند التأخر | تسليم مع دليل | مراجعة المسند,اعتماد المسند للإنجاز | الحالة = مكتمل | يُحسب في KPI الفريق | لا يُعاد فتحه إلا بقرار من المسند,الاجتماعات | المستخدمون,الإشعارات | التقارير | الملف الشخصي,يفرق عن المهام في أنه ينبع دائمًا من اجتماع
5,المهام والتكليفات,Department Tasks,شغال,عالي جدًا,كل مدير قسم لتكاليفه,كل الموظفين,department_tasks | task_comments | task_projects,تكاليف شفهية بلا توثيق | ضياع المهام بين مدير وموظف | عدم وضوح الأولوية | عدم متابعة الإنجاز,كل تكليف موثق | مسار متابعة واضح | تصعيد تلقائي عند التأخر | تقييم الأداء بأدلة | ثقافة المحاسبة | توزيع أعباء عادل,إسناد سريع من أي مكان (بالصوت أو النقر) | Kanban board 4 حالات | تقويم مرئي بالمواعيد | تصفية بمسؤول وحالة وأولوية | بحث نصي | إعادة إسناد | تعليقات ومرفقات | نسخ مهمة للمتكررة | ربط مهام | مشاريع تجميع | مهام فرعية | مشاهدون بدون تكليف,المسند | المسؤول | المشاهدون | المدير المُشرف,الإشعارات (إسناد اقتراب تأخر تعليق) | التواصل الداخلي chat خاص | مخرجات الاجتماعات | الملف الشخصي,إسناد متعدد | مهام بمهام فرعية | مهمة تتطلب موافقة | إجازة المسؤول → تحويل مؤقت | إلغاء بسبب موثق,لوحة مهامي | لوحة مهام فريقي | تقرير الإنجاز الشهري | تحليل الأعباء | المهام المتأخرة,عدد التكاليف الشهرية | نسبة التنفيذ في الموعد | توزيع الأعباء | المهام المفتوحة لكل موظف | المشاريع النشطة,توزيع أعباء عادل | كشف الموظفين المُثقلين | تقييم أداء موضوعي,مدير يحتاج إنجاز عبر موظف,كتابة المهمة (يدوي أو صوت) | تحديد مسؤول وأولوية وموعد | مرفقات | إخطار المستلم فورًا | استلام وتفاوض | تأكيد أو تعديل | التنفيذ وتحديث التقدم | تذكيرات ومتابعة | تسليم للمراجعة | مراجعة المدير,اعتماد المدير للإنجاز | الحالة = مكتملة | تُحسب في KPI الموظف | تظهر في تقرير الإنجاز | تُذكر في اجتماع أداء,المستخدمون | الإشعارات,التقارير | الملف الشخصي,يفرق عن مخرجات الاجتماعات في أنه تكليف مباشر ليس بالضرورة من اجتماع
6,القرارات,Corporate Decisions,شغال,عالي,الإدارة والمدراء,المتخذون + المسؤولون + المتأثرون,decisions | decision_viewers,قرارات شفهية تُنسى | عدم وضوح من قرر متى ولماذا | عدم القدرة على مراجعة القرارات السابقة | تكرار نفس القرار,كل قرار موثق بسبب | تاريخ متخذه ومن اتخذه ومن نفذه | سجل شفاف للمراجعة | ثقافة قرار مدروس | توثيق الاتجاه الاستراتيجي | مرجعية للمراجعات القانونية,إنشاء قرار (يدوي أو من اجتماع) | إسناد لمسؤول رئيسي ومسؤولين فرعيين | مرفقات ومبررات | ربط بمهمة تنفيذ | متابعة التقدم | إغلاق عند التنفيذ | إلغاء بسبب موثق | تعديل ينشئ إصدار جديد | مشاهدون مصرح لهم | 4 حالات (draft active executed cancelled),المُقرِّر | المسؤول الرئيسي | المسؤولون الفرعيون | المشاهدون,الاجتماعات (قد ينبع منها) | المهام (قد يتحول لمهمة) | الإشعارات | التقارير,قرار مُعدَّل (إصدار جديد يشير للسابق لا يُحذف الأصلي) | قرار مُلغى بسبب موثق | قرار طويل الأمد (خطة 5 سنوات) | قرار سري (مشاهدون محدودون) | قرار جماعي بلا مسؤول واحد,قرارات الشركة الشهرية | قرارات القسم | قرارات كل موظف مسؤول | القرارات المتأخرة | قرارات لم تنفذ ومبرراتها,عدد القرارات شهريًا | نسبة التنفيذ | زمن التنفيذ الوسيط | عدد القرارات المُعدَّلة أو الملغاة,توثيق الاتجاه الاستراتيجي | مرجعية للمراجعات القانونية | شفافية داخلية,الحاجة لقرار رسمي,دراسة الخيارات وتشاور المعنيين | مراجعة أثر القرار | الاتخاذ الرسمي بصياغة رسمية | توثيق المبرر | اختيار المسؤولين | تحديد موعد التنفيذ | الإعلان والإخطار | التنفيذ عبر مهمة أو مشروع | تقارير دورية | التنفيذ الفعلي | التقييم اللاحق,تنفيذ فعلي مسجل وتقييم أثر | يبقى في الأرشيف للأبد كسجل مؤسسي,الاجتماعات | المستخدمون,الإشعارات | التقارير,أنواع (استراتيجي تشغيلي مالي HR تسويقي فني)
7,التواصل الداخلي,Internal Chat,شغال,عالي جدًا,المستخدمون أنفسهم,كل الموظفين,conversations | messages | message_reads | conversation_participants,استخدام واتساب/تلجرام لأعمال (تسرب بيانات) | ضياع الرسائل المهمة | عدم أرشفة الاتصالات | عدم وضوح هل قُرأت,تواصل مؤسسي محفوظ | كل رسالة قابلة للأرشفة والبحث | مؤشرات قراءة | ربط الرسائل بموضوعات | بيئة عمل موحدة | امتثال أمني,رسائل نصية + تنسيق (bold ألوان محاذاة) | ملفات (صور PDF فيديو) | ردود على رسائل محددة | ذكر @mention | ردود سريعة emojis | تحرير مع تسجيل | حذف soft delete | تثبيت رسائل مهمة | بحث في الأرشيف | إشعارات فورية | مؤشر من قرأ | إشارة يكتب الآن | Presence متصل/غير متصل,الكل,الإشعارات push | الملف الشخصي (فتح شخص → محادثة),انقطاع النت → قائمة انتظار محلية | رسالة كبيرة (رفع تدريجي) | مستخدم محظور | محادثة قديمة (تحميل pagination),سجل تواصل كل موظف للتدقيق | المحادثات النشطة | الرسائل غير المقروءة,عدد المحادثات النشطة | سرعة الاستجابة | عدد الرسائل | توزيع بين الأقسام,-,بدء محادثة (فتح ملف زميل والضغط على محادثة),تبادل رسائل يومي | ملفات وصور | ذكر أشخاص | إشعارات فورية | تنبيه لرسالة عاجلة لم تُقرأ,المحادثة لا تُقفل بمعنى الإلغاء - تظل مفتوحة للأبد | الأرشيف قابل للبحث دائمًا,المستخدمون,الإشعارات | الملف الشخصي,أنواع (1:1 جماعية قناة قسم اجتماع مهمة إعلانات broadcast)
8,تواصل طارئ,Emergency Channel,شغال,طارئ,الإدارة العليا + مدراء الفروع,الكل يستقبل محدودون يرسلون,يستخدم بنية conversations بنوع خاص,تأخر إيصال أخبار طارئة | ضياع التعليمات الطارئة,قناة مميزة للطوارئ (لون أحمر إشعار قوي) | وصول فوري للكل أو لجهة محددة | تسجيل الاستجابة,إنشاء تنبيه طارئ (نص + مستوى) | بث لكل الشركة أو فرع محدد | إشعار push بصوت مميز | إجبار الاستلام | تتبع من قرأ | توثيق الاستجابة,يرسل: مدراء الفروع الإدارة العليا quality_manager maintenance_officer | يستقبل: حسب النطاق,الإشعارات push | المستخدمون,-,سجل الطوارئ الشهري | زمن الاستجابة الوسيط,سرعة الاستجابة | عدد الطوارئ الشهرية,استجابة عاجلة للأزمات | تحديد نقاط ضعف تشغيلية,وقوع حدث حرج,البلاغ من المسؤول | كتابة بلاغ واضح | تحديد النطاق | البث لكل المعنيين | صوت تنبيه مميز | استجابة كل معني برد استلمت | اتخاذ الإجراءات | تحديثات دورية | تنسيق,إعلان انتهاء الطارئ | تقرير كامل بما حدث | دروس مستفادة | مراجعة للتحسين,الإشعارات push | المستخدمون,-,أنواع الطوارئ (تسمم حريق انقطاع كهرباء عطل معدة أمان كارثة شكوى خطرة)
9,الصيانة,Maintenance,شغال,عالي,maintenance_officer + branch_manager,الفروع تبلغ فريق الصيانة ينفذ,maintenance_requests | maintenance_suppliers | maintenance_equipment | maintenance_timeline | maintenance_preventive_plans | branch_assets,عطل ثلاجة يوقف فرع كامل | عدم متابعة طلبات الصيانة | تكلفة صيانة مرتفعة بلا رقابة | معدات لا تُصان دوريًا | موردون بلا رقابة,كل عطل موثق ومتتبع | تكلفة الصيانة معلومة | صيانة وقائية دورية | مقارنة موردين بأداء موضوعي | تحليل الأعطال المتكررة | قرار استبدال بدل صيانة,تقديم طلب (نموذج ستيبر ذكي) | ستيبر مرئي بدوائر متصلة | إسناد لموظف صيانة أو مورد | تكلفة تقديرية | طلب عروض أسعار من موردين متعددين | اعتماد بميزانية | تنفيذ | استلام الفرع | تسجيل التكلفة النهائية | توليد قيد محاسبي | إغلاق مع سبب | Timeline كامل | صيانة وقائية بجدول لكل معدة | إدارة المعدات والموردين,maintenance_officer | branch_manager | finance_manager | موظفو الصيانة | الموردون,الحسابات | الأصول الثابتة | الإشعارات | تواصل طارئ | الجودة,عطل حرج فوري | معدة تحت الضمان | عطل متكرر | تكلفة تجاوزت التقدير | استلام مع ملاحظات,تقرير الصيانة الشهري | تكلفة الصيانة بالفرع | المعدات الأكثر عطلًا | أداء الموردين | نسبة الصيانة الوقائية,عدد الطلبات شهريًا | زمن الاستجابة | زمن الإصلاح | تكلفة شهرية | معدات بأعطال متكررة | نسبة الوقائية | تقييم الموردين,استبدال معدة بدل صيانتها | تغيير مورد سيء | ميزانية صيانة,اكتشاف عطل والبلاغ,الاستلام والمراجعة | الفحص الميداني | تقدير التكلفة | عروض أسعار | الاعتماد المالي | إسناد للمنفذ | زيارة الفرع والتنفيذ | تقرير المنفذ | استلام الفرع بالتوقيع | ملاحظات,تسجيل التكلفة النهائية | قيد محاسبي مسودة | الحالة = مغلق | المعدة تعود لخدمتها | Timeline كامل محفوظ,الفروع | المستخدمون | الأصول الثابتة,الحسابات | التقارير | الجودة,ستيبر 11 حالة
10,الجودة,Quality,شغال,عالي,quality_manager,المفتشون + مدراء الفروع,quality_visits | quality_visit_items | quality_sections | quality_items | quality_corrective_actions,عدم توحيد معايير الجودة | زيارات بلا توثيق | مخالفات تتكرر | عدم مقارنة الفروع,معايير جودة موحدة | كل زيارة موثقة | إجراءات تصحيحية متتبعة | مقارنة الفروع بمعايير موضوعية | امتثال للأنظمة الصحية | كشف مبكر,إعداد قائمة البنود | جدولة الزيارة | تنفيذ (كل بند: حالة + ملاحظة + صورة) | 5 حالات لكل بند | ملخص الزيارة السابقة للمقارنة | تقدم مرئي | توليد إجراءات تصحيحية | إسناد لمسؤول بموعد | متابعة الإغلاق | تقارير تفصيلية ومقارنة,quality_manager | المفتشون | مدراء الفروع | المسؤولون عن التصحيح,المهام | الصيانة | HR | التقارير,زيارة تكتمل جزئيًا | بند حرج | مخالفة متكررة,تقييم الفروع | المخالفات الأكثر تكرارًا | مقارنة الأداء | تقرير الفرع الشهري,نسبة المطابقة | المخالفات المفتوحة | زمن إغلاق الإجراءات | الأقسام الأكثر مخالفة | ترتيب الفروع,تقييم مدير الفرع | عمولات مبنية على الجودة | إعادة تدريب,جدولة زيارة جودة,تنفيذ الزيارة | تعبئة البنود | رصد المخالفات | توليد إجراءات تصحيحية | إسناد | التنفيذ ورفع دليل | التحقق في الزيارة التالية,إغلاق الإجراء التصحيحي | إغلاق الزيارة | تحسن مسجل,الفروع | المستخدمون,المهام | الصيانة | التقارير | HR,أنواع (يومية أسبوعية شهرية مفاجئة)
